潭 岩 亭 秋
妃 天 霜 人
木 鸡 臾 梦
秋 明 鼓 假
元 斋 玉 人
叶 客 爱 海
殿 钟 江 光
岩 远 溪 海
璧 金 云 歌
赫 暑 兰 表
沈 广 既 呈
云 云 腾 荷
碧 顦 泪 石
冬 川 龙 玉
旗 羽 山 日
翠 金 岁 长
水 楼 倩 人
碧 绿 山 人
凭 阁 雪 残
罗 红 云 柳
叶 泪 门 珠
楼 凤 门 宫
明 冷 人 敢
枝 楼 人 泪
层 佳 月 芙
情 魂 谢 人
红 王 龙 朝
玉 池 月 酒
色 红 情 叶
情 江 恨 翠
翠 同 羡 云
登 日 岩 似
翠 梦 江 江
灵 叶 景 天
影 珠 黄 符
歌 龙 明 降
璧 金 云 歌
天 苍 日 神
陈 笙 图 风
钟 风 人 地
宫 明 偃 沈
赫 暑 兰 表
凤 龙 云 朱
宫 安 云 鼓
笙 鼓 绮 云
仪 玉 鸣 舞
崇 宫 诞 载
风 玉 光 夕
羽 音 贵 春
云 云 腾 荷
坤 灵 水 文
神 阴 武 登
羽 干 望 云
光 善 门 人
集 龙 尊 武
光 灵 严 明
赫 皇 基 海
天 天 光 苹
钟 风 人 地
送 光 海 龄
枝 台 明 类
石 佾 海 素
干 进 昔 陈
石 肃 山 庙
和 宣 服 格
称 武 缀 明
汉 书 天 祗
楼 幕 海 山
鼓 破 鹊 天
月 群 兵 马
军 谷 箭 明
暮 草 日 马
明 人 龙 马
白 黄 秋 马
金 马 旗 兵
黄 山 笛 春
柳 攀 妾 必
江 女 明 暗
枝 江 楼 绿
色 眉 绣 叶
悲 月 朝 书
暮 人 强 共
倚 知 黄 青
风 红 愁 如
毛 黄 马 宫
日 明 泪 流
李 月 忆 门
叶 素 人 冷
丝 心 我 辘
晓 江 人 风
强 花 祗 免
台 黄 人 地
色 繁 罗 泪
酒 王 悲 声
战 城 突 兵
楼 黄 笛 愁
声 情 愁 秋
海 雁 黄 楼
书 金 马 黄
纪 雪 怨 天
雁 夜 客 寒
春 思 恨 理
影 玉 台 天
门 罗 明 宫
宫 昭 泪 思
愁 暂 泪 寒
天 金 光 宫
殿 黄 明 宫
春 梦 花 桃
泉 恩 闲 宫
天 人 人 丝
日 笙 珠 枝
罗 朝 春 墙
水 杏 春 泪
秋 愁 泪 拭
学 人 王 花
翠 金 宫 云
暗 门 春 车
金 珠 金 宫
殿 暂 玉 影
宫 月 海 门
金 黄 笙 风
门 玉 泪 黄
草 云 酒 白
山 酒 叶 木
台 王 吴 青
宫 王 宫 白
山 宫 莲 王
蛾 鸣 白 光
锦 莲 门 郎
女 结 晨 郎
山 水 春 荷
王 莲 花 江
荷 芙 池 人
女 木 春 争
叶 荷 郎 碧
花 河 楼 红
女 宫 翠 朝
翠 龙 声 金
色 风 声 直
管 帘 声 人
直 番 时 地
声 人 书 马
妃 从 日 拍
宫 女 山 殿
传 新 妃 人
朝 玉 宫 黄
清 山 去 宫
妃 妃 人 竹
江 寒 光 清
柳 光 鸟 花
网 玉 月 鹊
宫 暑 风 珠
凤 山 朝 水
重 白 清 酒
金 马 花 酒
酒 咸 逢 马
汉 台 天 光
郎 初 孰 香
身 虏 金 纷
少 马 如 门
河 弓 秋 寒
弓 秋 河 拟
楼 金 当 天
笑 酒 人 竹
燕 红 黄 见
马 马 通 酒
玉 丝 台 叶
马 恶 凤 金
锦 闲 稼 王
翠 安 绿 花
柳 情 马 色
燕 鱼 感 山
门 马 日 殷
北 愁 青 明
风 香 孤 刀
秋 人 河 楼
水 光 壁 寒
秋 罗 银 怯
宫 龙 王 桃
日 春 草 东
花 绿 仍 白
珠 玉 影 碧
